Year,City of London,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,England,England and Wales,UK
2004,#N/A,79.2,82.6,81.6,82.3,82.3,81.2,80.7,81.3,81.1,80.1,80.7,81.8,80.2,82.9,81.1,81.3,80.0,79.5,85.3,81.6,80.0,79.6,82.1,78.8,81.3,82.4,80.2,81.2,79.2,80.0,80.5,82.8,79.6,79.7,80.4,80.7,80.6,81.6,81.1,81.8,82.0,80.3,80.9,80.8,80.7
2005,#N/A,79.3,82.9,82.0,82.7,82.6,81.7,81.0,81.6,81.2,80.1,81.2,82.1,80.9,82.7,81.4,81.6,80.4,79.8,85.3,82.2,79.9,79.8,82.3,78.9,81.6,82.8,80.7,81.8,79.9,80.4,80.8,82.8,79.8,79.9,80.6,80.9,80.8,81.8,81.4,82.0,82.2,80.5,81.1,81.1,80.9
2006,#N/A,79.8,83.3,82.6,83.2,83.3,81.9,81.2,82.1,81.9,80.6,81.3,83.1,82.0,83.2,82.0,82.2,80.9,80.2,85.9,82.8,80.2,80.5,82.8,79.4,82.1,83.2,81.2,82.5,80.2,80.9,81.1,83.7,80.1,80.3,81.0,81.3,81.1,82.3,81.9,82.4,82.7,81.0,81.5,81.5,81.3
2007,#N/A,80.3,83.4,82.8,83.5,83.5,82.6,82.0,82.9,82.3,81.2,81.5,83.5,82.7,83.7,82.1,82.7,81.6,81.0,85.9,83.1,80.7,81.0,82.7,79.8,82.5,83.9,81.4,82.5,80.4,81.3,81.4,84.1,80.4,80.4,81.1,81.6,81.4,82.5,82.3,82.6,82.9,81.2,81.8,81.7,81.5
2008,#N/A,80.5,83.8,82.8,83.6,83.6,83.1,82.2,83.1,82.6,81.5,81.3,83.6,83.1,84.4,82.6,83.1,82.1,81.3,86.4,83.4,81.2,81.2,82.9,80.4,82.6,84.4,81.6,82.6,80.4,81.5,81.4,85.1,80.6,80.6,81.3,81.8,81.6,82.7,82.6,82.9,83.0,81.3,82.0,81.9,81.7
2009,#N/A,80.8,84.0,83.2,83.7,83.7,84.0,82.8,83.2,82.8,81.7,81.5,83.5,83.6,84.6,83.0,83.3,82.6,81.6,86.2,83.7,81.2,81.6,83.1,80.8,83.0,85.4,81.9,83.0,80.8,82.1,81.9,85.5,80.9,80.8,81.4,82.0,81.9,83.0,82.9,83.2,83.2,81.5,82.3,82.2,82.0
2010,#N/A,81.0,84.1,83.6,83.8,84.2,84.7,82.6,83.3,82.9,81.6,81.7,83.3,83.6,84.9,83.5,83.5,82.9,82.0,86.3,84.2,81.3,81.7,83.8,81.4,83.3,85.6,82.2,83.5,81.3,82.5,82.5,85.4,81.1,81.1,81.7,82.3,82.2,83.2,83.2,83.5,83.4,81.8,82.5,82.4,82.2
2011,#N/A,81.6,84.2,84.1,84.4,84.5,85.0,83.0,83.9,83.9,82.1,82.3,83.4,83.7,85.4,84.0,83.6,83.2,82.6,86.1,84.5,82.3,82.3,84.0,82.0,83.8,86.0,82.7,84.1,81.9,83.1,83.1,85.1,81.5,81.5,82.0,82.8,82.6,83.6,83.6,83.8,83.7,82.2,82.9,82.8,82.6
2012,#N/A,82.0,84.5,84.4,84.5,84.5,85.4,83.2,84.2,84.0,82.2,82.8,83.3,83.8,85.6,83.8,83.5,83.3,83.2,85.8,84.8,83.0,82.6,84.2,82.6,84.0,85.9,83.1,84.0,82.0,83.4,83.2,85.1,81.6,81.7,82.2,82.9,82.7,83.7,83.8,83.8,83.9,82.2,83.0,82.9,82.7
2013,#N/A,82.4,85.0,84.3,84.9,84.9,86.0,83.5,84.3,84.3,82.8,83.2,83.5,84.7,85.9,83.8,83.7,83.4,83.4,86.2,84.5,83.5,83.0,84.1,82.6,84.2,85.9,83.8,84.1,82.6,83.7,83.3,85.9,81.7,81.8,82.2,83.0,82.8,83.8,84.1,83.9,83.8,82.3,83.1,83.0,#N/A
2014,#N/A,82.1,85.1,84.4,85.1,84.9,86.7,83.6,84.2,84.1,82.5,83.3,84.1,84.9,86.1,83.9,83.9,83.9,83.5,86.4,84.6,83.3,83.4,84.2,83.0,84.6,86.0,83.9,83.4,82.5,83.8,83.7,86.3,81.7,81.9,82.4,83.0,82.9,83.8,84.2,84.0,83.9,82.3,83.2,83.1,#N/A
