 Year,City of London,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,England,England and Wales,UK
2004,300000,160000,249950,175000,225000,225000,305000,186000,232000,193000,180000,213000,300000,213600,245000,188000,210000,215000,250000,450000,235000,220000,180000,225000,186998,220000,292000,222500,188000,230000,188000,260000,350000,95000,107000,110000,126000,128000,163500,220000,185000,165000,115000,151500,150000,#N/A
2005,310000,163000,250000,183500,241250,230000,325000,195000,237500,200000,199995,220000,324000,225000,249000,195000,219000,220000,270000,465000,239950,230000,185000,233000,197000,227000,300000,237500,200000,235548,199000,277475,380000,108000,118000,119950,132000,134000,170000,230000,192500,170000,125000,159950,157500,#N/A
2006,341000,168000,275000,195000,249999,242500,360000,206000,249000,210000,209000,247500,350000,239000,250000,205000,230000,235995,297660,525000,250000,245750,203000,242052.5,211000,240000,330000,247500,210000,249000,215000,314000,415000,119000,127000,128950,137000,142250,178000,245000,203000,178650,132500,168500,166500,#N/A
2007,405001,185000,295000,212000,283000,260000,410000,223000,272000,234000,224000,265000,415000,268000,280000,223000,245000,249999,347500,650000,290000,280000,225000,264950,230000,250000,382500,276000,233500,290000,240000,356000,475000,122000,134750,135000,144950,147000,190000,265000,220000,190950,140000,178000,175950,#N/A
2008,366250,190000,280000,210000,277500,250000,440000,228000,270000,234000,232000,265000,435000,255000,275000,222000,246000,249000,350000,700000,285000,275000,227000,264000,236000,250000,373960.5,280000,231500,291000,234000,350000,495000,120000,129950,130000,138000,142000,186000,260000,215000,185000,135000,174000,170047.5,#N/A
2009,416500,160000,290000,196000,275000,249000,420000,200500,258600,225000,220000,275000,420000,250000,250000,199995,230000,240000,345000,675000,270000,275000,215000,250000,198000,230000,377750,285000,210000,288000,212000,350000,499975,120000,130000,130000,135000,142000,175000,250000,203000,175000,133000,170000,169000,#N/A
2010,440000,171000,326000,215000,283000,275000,475000,220000,279950,240000,245000,292500,455000,290000,292000,220000,249999,249950,385000,750000,300500,302500,235000,289975,220000,250000,400000,315000,235000,305000,230000,379950,585000,122000,130000,135000,139500,147000,195000,288000,229000,190000,135000,185000,182000,#N/A
2011,465000,170000,323500,215000,300000,275000,480000,220000,292950,240000,249995,310000,465000,302000,294500,220000,248625,250000,399000,790000,299950,310000,239950,295000,219000,250000,420000,320000,232750,299999,230000,390000,600000,117000,127000,130000,135000,140000,189950,292000,223000,185000,130000,179995,175500,#N/A
2012,485000,174995,330000,210000,320000,278000,500000,230000,310000,247000,245000,325000,490000,315000,300000,220000,250000,263000,407275,890000,318000,320000,248500,290000,219000,265000,430000,330000,240000,305000,241000,417250,632450,120000,130000,130000,137750,144995,192997.5,300000,229000,187000,132500,183000,180000,#N/A
2013,615000,180995,345000,225000,345000,295000,585000,239950,326000,250000,273000,375000,561220,337000,325000,232000,268000,280000,462000,975000,335000,350000,260000,320500,230000,273000,475000,349997.5,250000,327500,265000,462500,725000,122000,131000,134500,141000,148000,200000,322000,235000,190000,135000,187500,185000,#N/A
2014,765000,215000,400000,250000,385000,335000,675000,265000,388000,285000,317000,433000,661000,405000,370000,250000,307000,319950,530000,1195000,385000,420000,315000,385000,250000,301500,535000,420000,285000,383000,320000,532500,875000,125065,138500,139995,150000,155000,215000,365000,249955,200000,140000,198000,195000,#N/A
2015,799999,243500,445000,275000,407250,374975,700000,300000,430000,320000,340000,485000,730000,432500,396150,287500,350000,355000,583000,1200000,410000,450000,352000,415000,305000,345000,575000,475000,320000,415000,366569,557000,920000,126000,140000,140000,157000,160000,235000,399950,270000,215000,140000,209995,203995,#N/A
